"episode_number","title","date"
79,"Meet The Magician Who Spends $100,000 Every 10 Seconds | Zach King",2022-11-22
78,"Meet The Millionaire Real Estate Tycoon Spending $500,000 Per Month",2021-11-18
77,"Confronting The Assistant We Fired",2021-11-08
76,"Confronting The Ex-Founder Of WallStreetBets",2021-11-03
75,"Meet The World’s Cheapest Dogecoin Millionaire",2021-10-28
74,"Why My Assistant Left",2021-10-21
73,"Meet The Unemployed Investor Making $10 Million Dollars",2021-10-12
72,"Meet The Man Who Owns A $250 Million Dollar Bank",2021-10-04
71,"Meet The Millionaire Bodybuilder Spending $200,000 Per Month",2021-09-29
70,"How To Build Your Credit Score ASAP And Travel For Free | The Credit Shifu",2021-09-23
69,"Making $1 Million Dollars With Bitcoin - Confronting Andrei Jikh",2021-09-14
68,"How To Make $100,000 Per Month Playing Video Games | Confronting BunnyFuFuu",2021-09-06
67,"Meet The Million Dollar Man Behind MrBeast",2021-09-01
66,"Getting Sued By A Fake Guru | Spencer Cornelia",2021-08-25
65,"Meet the Millionaire Who Lives In His Car | Confronting Nate O’Brien",2021-08-19
64,"I Went Bankrupt 6 Times | Confronting A Professional Gambler",2021-08-13
63,"Confronting the RICHEST Kid in America | Revealing His WORST Purchase",2021-08-06
62,"Meet The Multi-Millionaire Gas Station Employee | Investing $0 to $10,000",2021-07-28
61,"How I Secretly Lived Rent Free In An Airport | Confronting Fidias",2021-07-22
60,"Buying A $1.8 Million Dollar Koi Fish! | Confronting CoralFish12g",2021-07-15
59,"Confronting Kelly Stamps | How She SPENDS $40,000 Per Month",2021-07-08
58,"Confronting The Vlog Squad | The $600,000 Side Hustle",2021-06-30
57,"Confronting Jennette McCurdy | Her Unbelievable Home Horror Story",2021-06-22
56,"Confronting My Ex Boss",2021-06-16
55,"Buying A $250 Million Mega-Mansion | Confronting Enes Yilmazer",2021-06-08
54,"Confronting Tiffany Ma | How She Spends $60K Per Month",2021-05-31
53,"The Exact Moment D’Angelo Wallace’s Career Ended: 12:37pm 01/13/20",2021-05-26
52,"Confronting Ryan Pineda: Tenant Didn’t Pay Rent For 3 YEARS",2021-05-20
51,"The Dark Side Of Dogecoin: Losing $1 Million Dollars In One Hour",2021-05-19
50,"GOING ALL IN ON DOGECOIN: $2.5 MILLION DOLLARS",2021-05-12
49,"Confronting MeetKevin | Revealing His $12 Million WallStreetBets YOLO",2021-05-05
48,"We Almost Got Scammed",2021-04-22
47,"Confronting The New Assistant On Why He Quit",2021-04-12
46,"Making $378K A Year As A Fiverr Freelancer | The Millionaire Side Hustle",2021-04-07
45,"How To Make $100 Per Day In The Stock Market ft. Jeremy Financial Education",2021-03-31
44,"From $0 To Millionaire | Investing For Beginners with Dumb Money",2021-03-22
43,"Confronting Our Worst Fears | Yes Theory",2021-03-16
42,"How To Make $11 Million Overnight | The 3LAU NFT",2021-03-09
41,"Confronting The Bitcoin Multi-Millionaire | The Next Bitcoin Crash",2021-03-05
40,"Confronting Andrei Jikh | Can Bitcoin Reach $1 Million",2021-02-24
