"episode_number","title","date"
300,"Joe Rogan: Comedy, Controversy, Aliens, UFOs, Putin, CIA, and Freedom",2022-07-04
299,"Demis Hassabis: DeepMind",2022-07-01
298,"Susan Cain: The Power of Introverts and Loneliness",2022-06-28
297,"Jonathan Reisman: The Human Body – From Sex & Sperm to Hands & Heart",2022-06-25
296,"Douglas Murray: Racism, Marxism, and the War on the West",2022-06-21
295,"Richard Wolff: Marxism and Communism",2022-06-17
294,"Tony Fadell: iPhone, iPod, and Nest",2022-06-15
293,"Donald Hoffman: Reality is an Illusion – How Evolution Hid the Truth",2022-06-12
292,"Robin Hanson: Alien Civilizations, UFOs, and the Future of Humanity",2022-06-09
291,"Jonathan Haidt: The Case Against Social Media",2022-06-04
290,"Dan Reynolds: Imagine Dragons",2022-05-30
289,"Stephen Kotkin: Putin, Zelenskyy, and War in Ukraine",2022-05-25
288,"Sarma Melngailis: Bad Vegan",2022-05-23
287,"Bobby Lee: Comedy, Skyrim, Sex Robots, Love, Fame, and Power",2022-05-20
286,"Oliver Stone: Vladimir Putin and War in Ukraine",2022-05-17
285,"Glenn Loury: Race, Racism, Identity Politics, and Cancel Culture",2022-05-14
284,"Saifedean Ammous: Bitcoin, Anarchy, and Austrian Economics",2022-05-11
283,"Chris Mason: Space Travel, Colonization, and Long-Term Survival in Space",2022-05-08
282,"David Buss: Sex, Dating, Relationships, and Sex Differences",2022-05-04
281,"Grimes: Music, AI, and the Future of Humanity",2022-04-29
280,"Cristiano Amon: Qualcomm CEO",2022-04-27
279,"Alien Debate: Sara Walker and Lee Cronin",2022-04-24
278,"Skye Fitzgerald: Hunger, War, and Human Suffering",2022-04-20
277,"Andrew Huberman: Focus, Stress, Relationships, and Friendship",2022-04-17
276,"Michael Saylor: Bitcoin, Inflation, and the Future of Money",2022-04-14
275,"Rick Rubin: Legendary Music Producer",2022-04-10
274,"Karl Deisseroth: Depression, Schizophrenia, and Psychiatry",2022-04-07
273,"Chris Blattman: War and Violence",2022-04-03
272,"Brett Johnson: US Most Wanted Cybercriminal",2022-03-27
271,"Ariel Ekblaw: Space Colonization and Self-Assembling Space Megastructures",2022-03-23
270,"David Wolpe: Judaism",2022-03-16
269,"Lee Cronin: Origin of Life, Aliens, Complexity, and Consciousness",2022-03-11
268,"Robert Proctor: Nazi Science and Ideology",2022-03-05
267,"Mark Zuckerberg: Meta, Facebook, Instagram, and the Metaverse",2022-02-26
266,"Nicole Perlroth: Cybersecurity and the Weapons of Cyberwar",2022-02-20
265,"Devon Larratt: Arm Wrestling",2022-02-16
264,"Tim Urban: Elon Musk, Neuralink, AI, Aliens, and the Future of Humanity",2022-02-13
263,"John Abramson: Big Pharma",2022-02-11
262,"Garry Nolan: UFOs and Aliens",2022-02-06
261,"Philip Goff: Consciousness, Panpsychism, and the Philosophy of Mind",2022-02-03
260,"Georges St-Pierre, John Danaher & Gordon Ryan: The Greatest of All Time",2022-01-30
259,"Thomas Tull: From Batman Dark Knight Trilogy to AI and the Rolling Stones",2022-01-26
258,"Yann LeCun: Dark Matter of Intelligence and Self-Supervised Learning",2022-01-22
257,"Brian Keating: Cosmology, Astrophysics, Aliens & Losing the Nobel Prize",2022-01-18
256,"Nationalism Debate: Yaron Brook and Yoram Hazony",2022-01-15
255,"Mark Normand: Comedy!",2022-01-08
254,"Jay Bhattacharya: The Case Against Lockdowns",2022-01-04
253,"Michael Malice: New Year’s Special",2021-12-31
252,"Elon Musk: SpaceX, Mars, Tesla Autopilot, Self-Driving, Robotics, and AI",2021-12-28
251,"Ray Dalio: Money, Power, and the Collapse of Empires",2021-12-25
250,"Peter Wang: Python and the Source Code of Humans, Computers, and Reality",2021-12-23
249,"Albert Bourla: Pfizer CEO",2021-12-18
248,"Norman Naimark: Genocide, Stalin, Hitler, Mao, and Absolute Power",2021-12-18
247,"Jamie Metzl: Lab Leak Theory",2021-12-08
246,"Peter Woit: Theories of Everything and Why String Theory is Not Even Wrong",2021-12-03
245,"Tom Brands: Iowa Wrestling",2021-11-30
244,"Robert Crews: Afghanistan, Taliban, Bin Laden, and War in the Middle East",2021-11-28
243,"Kevin Systrom: Instagram",2021-11-23
242,"Ben Askren: Wrestling and MMA",2021-11-20
241,"Boris Sofman: Waymo, Cozmo, Self-Driving Cars, and the Future of Robotics",2021-11-16
240,"Neal Stephenson: Sci-Fi, Space, Aliens, AI, VR & the Future of Humanity",2021-11-11
239,"Niall Ferguson: History of Money, Power, War, and Truth",2021-11-08
238,"Francis Collins: National Institutes of Health (NIH)",2021-11-05
237,"Steve Viscelli: Trucking and the Decline of the American Dream",2021-11-03
236,"Jimmy Pedro: Judo and the Forging of Champions",2021-10-31
235,"Michael Mina: Rapid COVID Testing",2021-10-29
234,"Stephen Wolfram: Complexity and the Fabric of Reality",2021-10-26
233,"Carl Hart: Heroin, Cocaine, MDMA, Alcohol & the Role of Drugs in Society",2021-10-23
232,"Brian Greene: Quantum Gravity, Big Bang, Aliens, Life, Death, and Meaning",2021-10-20
231,"Alex Gladstein: Bitcoin, Authoritarianism, and Human Rights",2021-10-16
230,"Kelsi Sheren: War, Artillery, PTSD, and Love",2021-10-14
229,"Richard Wrangham: Role of Violence, Sex, and Fire in Human Evolution",2021-10-10
228,"RZA: Wu-Tang Clan, Kung Fu, Chess, God, Life, and Death",2021-10-05
227,"Sean Kelly: Existentialism, Nihilism, and the Search for Meaning",2021-09-30
226,"Jo Boaler: How to Learn Math",2021-09-27
225,"Jeffrey Shainline: Neuromorphic Computing and Optoelectronic Intelligence",2021-09-26
224,"Travis Oliphant: NumPy, SciPy, Anaconda, Python & Scientific Programming",2021-09-22
223,"Travis Stevens: Judo, Olympics, and Mental Toughness",2021-09-20
222,"Jay McClelland: Neural Networks and the Emergence of Cognition",2021-09-20
221,"Douglas Lenat: Cyc and the Quest to Solve Common Sense Reasoning in AI",2021-09-15
220,"Niels Jorgensen: New York Firefighters and the Heroes of 9/11",2021-09-11
219,"Donald Knuth: Programming, Algorithms, Hard Problems & the Game of Life",2021-09-09
218,"Jaron Lanier: Virtual Reality, Social Media & the Future of Humans and AI",2021-09-06
217,"Rodney Brooks: Robotics",2021-09-03
216,"Vincent Racaniello: Viruses and Vaccines",2021-09-01
215,"Wojciech Zaremba: OpenAI Codex, GPT-3, Robotics, and the Future of AI",2021-08-29
214,"Jed Buchwald: Isaac Newton and the Philosophy of Science",2021-08-27
213,"Barry Barish: Gravitational Waves and the Most Precise Device Ever Built",2021-08-23
212,"Joscha Bach: Nature of Reality, Dreams, and Consciousness",2021-08-21
211,"Brian Muraresku: The Secret History of Psychedelics",2021-08-14
210,"Matt Walker: Sleep",2021-08-11
209,"Luís and João Batalha: Fermat’s Library and the Art of Studying Papers",2021-08-08
208,"Jeff Hawkins: The Thousand Brains Theory of Intelligence",2021-08-08
207,"Chris Duffin: The Mad Scientist of Strength",2021-08-03
206,"Ishan Misra: Self-Supervised Deep Learning in Computer Vision",2021-07-31
205,"Zach Bitter: Ultramarathon Running",2021-07-28
204,"Cumrun Vafa: String Theory",2021-07-25
203,"Anya Fernald: Regenerative Farming and the Art of Cooking Meat",2021-07-23
202,"Rick Doblin: Psychedelics",2021-07-20
201,"Konstantin Batygin: Planet 9 and the Edge of Our Solar System",2021-07-19
200,"Michael Malice: Totalitarianism and Anarchy",2021-07-15
199,"Roger Reaves: Smuggling Drugs for Pablo Escobar and the Medellin Cartel",2021-07-11
198,"Sara Walker: The Origin of Life on Earth and Alien Worlds",2021-07-09
197,"Jocko Willink: War, Leadership, and Discipline",2021-07-04
196,"Yeonmi Park: North Korea",2021-06-30
195,"Clara Sousa-Silva: Searching for Signs of Life on Venus and Other Planets",2021-06-27
194,"Bret Weinstein: Truth, Science, and Censorship in the Time of a Pandemic",2021-06-25
193,"Rob Reid: The Existential Threat of Engineered Viruses and Lab Leaks",2021-06-20
192,"Charles Hoskinson: Cardano",2021-06-16
191,"Daniel Schmachtenberger: Steering Civilization Away from Self-Destruction",2021-06-14
190,"Jordan Ellenberg: Mathematics of High-Dimensional Shapes and Geometries",2021-06-12
189,"David Sinclair: Extending the Human Lifespan Beyond 100 Years",2021-06-06
188,"Vitalik Buterin: Ethereum 2.0",2021-06-03
187,"Frank Wilczek: Physics of Quarks, Dark Matter, Complexity, Life & Aliens",2021-05-29
186,"Bryan Johnson: Kernel Brain-Computer Interfaces",2021-05-24
185,"Sam Harris: Consciousness, Free Will, Psychedelics, AI, UFOs, and Meaning",2021-05-20
184,"Katherine de Kleer: Planets, Moons, and Asteroids in Our Solar System",2021-05-17
183,"Po-Shen Loh: Mathematics, Math Olympiad, Combinatorics & Contact Tracing",2021-05-14
182,"John Danaher: The Path to Mastery in Jiu Jitsu, Grappling, Judo, and MMA",2021-05-09
181,"Sergey Nazarov: Chainlink, Smart Contracts, and Oracle Networks",2021-05-01
180,"Jeremi Suri: History of American Power",2021-04-29
179,"Georges St-Pierre: The Science of Fighting",2021-04-25
178,"Michael Malice and Yaron Brook: Ayn Rand, Human Nature, and Anarchy",2021-04-24
177,"Risto Miikkulainen: Neuroevolution and Evolutionary Computation",2021-04-19
176,"Robert Breedlove: Philosophy of Bitcoin from First Principles",2021-04-17
175,"Yannis Pappas: History and Comedy",2021-04-12
174,"Tyler Cowen: Economic Growth and the Fight Against Conformity and Mediocrity",2021-04-10
173,"Nic Carter: Bitcoin Core Values, Layered Scaling, and Blocksize Debates",2021-03-31
172,"Ryan Schiller: Librex and the Free Exchange of Ideas on College Campuses",2021-03-30
171,"Anthony Pompliano: Bitcoin",2021-03-25
170,"Ronald Sullivan: The Ideal of Justice in the Face of Controversy and Evil",2021-03-22
169,"Ryan Hall: Solving Martial Arts from First Principles",2021-03-20
168,"Silvio Micali: Cryptocurrency, Blockchain, Algorand, Bitcoin, and Ethereum",2021-03-15
167,"Saagar Enjeti: Politics, History, and Power",2021-03-13
166,"Cal Newport: Deep Work, Focus, Productivity, Email, and Social Media",2021-03-04
165,"Josh Barnett: Philosophy of Violence, Power, and the Martial Arts",2021-03-01
164,"Andrew Huberman: Sleep, Dreams, Creativity & the Limits of the Human Mind",2021-02-28
163,"Eric Weinstein: Difficult Conversations, Freedom of Speech, and Physics",2021-02-23
162,"Jim Keller: The Future of Computing, AI, Life, and Consciousness",2021-02-18
161,"Jason Calacanis: Startups, Angel Investing, Capitalism, and Friendship",2021-02-15
160,"Brendan Eich: JavaScript, Firefox, Mozilla, and Brave",2021-02-12
159,"Richard Craib: WallStreetBets, Numerai, and the Future of Stock Trading",2021-02-07
158,"Zev Weinstein: The Next Generation of Big Ideas and Brave Minds",2021-02-05
157,"Natalya Bailey: Rocket Engines and Electric Spacecraft Propulsion",2021-02-01
156,"Tim Dillon: Comedy, Power, Conspiracy Theories, and Freedom",2021-01-29
155,"Max Tegmark: AI and Physics",2021-01-18
154,"Avi Loeb: Aliens, Black Holes, and the Mystery of the Oumuamua",2021-01-13
153,"Dmitry Korkin: Evolution of Proteins, Viruses, Life, and AI",2021-01-11
152,"Dan Gable: Olympic Wrestling, Mental Toughness & the Making of Champions",2021-01-09
151,"Dan Kokotov: Speech Recognition with AI and Humans",2021-01-04
150,"Michael Malice: The White Pill, Freedom, Hope, and Happiness Amidst Chaos",2020-12-31
149,"Diana Walsh Pasulka: Aliens, Technology, Religion, and the Nature of Belief",2020-12-27
148,"Charles Isbell and Michael Littman: Machine Learning and Education",2020-12-26
147,"Dmitri Dolgov: Waymo and the Future of Self-Driving Cars",2020-12-20
146,"Michael Mina: Rapid Testing, Viruses, and the Engineering Mindset",2020-12-18
145,"Matthew Johnson: Psychedelics",2020-12-14
144,"Michael Littman: Reinforcement Learning and the Future of AI",2020-12-12
143,"John Clarke: The Art of Fighting and the Pursuit of Excellence",2020-12-06
142,"Manolis Kellis: Meaning of Life, the Universe, and Everything",2020-11-30
141,"Erik Brynjolfsson: Economics of AI, Social Networks, and Technology",2020-11-25
140,"Lisa Feldman Barrett: Love, Evolution, and the Human Brain",2020-11-20
139,"Andrew Huberman: Neuroscience of Optimal Performance",2020-11-16
138,"Yaron Brook: Ayn Rand and the Philosophy of Objectivism",2020-11-13
137,"Alex Filippenko: Supernovae, Dark Energy, Aliens & the Expanding Universe",2020-11-07
136,"Dan Carlin: Hardcore History",2020-11-02
135,"Charles Isbell: Computing, Interactive AI, and Race in America",2020-11-01
134,"Eric Weinstein: On the Nature of Good and Evil, Genius and Madness",2020-10-29
133,"Manolis Kellis: Biology of Disease",2020-10-25
132,"George Hotz: Hacking the Simulation & Learning to Drive with Neural Nets",2020-10-21
131,"Chris Lattner: The Future of Computing and Programming Languages",2020-10-18
130,"Scott Aaronson: Computational Complexity and Consciousness",2020-10-12
129,"Lisa Feldman Barrett: Counterintuitive Ideas About How the Brain Works",2020-10-04
128,"Michael Malice: Anarchy, Democracy, Libertarianism, Love, and Trolling",2020-10-02
127,"Joe Rogan: Conversations, Ideas, Love, Freedom & The Joe Rogan Experience",2020-09-26
126,"James Gosling: Java, JVM, Emacs, and the Early Days of Computing",2020-09-24
125,"Ryan Hall: Martial Arts and the Philosophy of Violence, Power, and Grace",2020-09-20
124,"Stephen Wolfram: Fundamental Theory of Physics, Life, and the Universe",2020-09-15
123,"Manolis Kellis: Origin of Life, Humans, Ideas, Suffering, and Happiness",2020-09-12
122,"David Fravor: UFOs, Aliens, Fighter Jets, and Aerospace Engineering",2020-09-08
121,"Eugenia Kuyda: Friendship with an AI Companion",2020-09-05
120,"François Chollet: Measures of Intelligence",2020-08-30
119,"David Eagleman: Neuroplasticity and the Livewired Brain",2020-08-26
118,"Grant Sanderson: Math, Manim, Neural Networks & Teaching with 3Blue1Brown",2020-08-23
117,"Sheldon Solomon: Death and Meaning",2020-08-20
116,"Sara Seager: Search for Planets and Life Outside Our Solar System",2020-08-16
115,"Dileep George: Brain-Inspired AI",2020-08-14
114,"Russ Tedrake: Underactuated Robotics, Control, Dynamics and Touch",2020-08-09
113,"Manolis Kellis: Human Genome and Evolutionary Dynamics",2020-07-31
112,"Ian Hutchinson: Nuclear Fusion, Plasma Physics, and Religion",2020-07-29
111,"Richard Karp: Algorithms and Computational Complexity",2020-07-26
110,"Jitendra Malik: Computer Vision",2020-07-21
109,"Brian Kernighan: UNIX, C, AWK, AMPL, and Go Programming",2020-07-18
108,"Sergey Levine: Robotics and Machine Learning",2020-07-14
107,"Peter Singer: Suffering in Humans, Animals, and AI",2020-07-08
106,"Matt Botvinick: Neuroscience, Psychology, and AI at DeepMind",2020-07-03
105,"Robert Langer: Edison of Medicine",2020-06-30
104,"David Patterson: Computer Architecture and Data Storage",2020-06-27
103,"Ben Goertzel: Artificial General Intelligence",2020-06-22
102,"Steven Pressfield: The War of Art",2020-06-20
101,"Joscha Bach: Artificial Consciousness and the Nature of Reality",2020-06-13
100,"Alexander Fridman: My Dad, the Plasma Physicist",2020-06-03
99,"Karl Friston: Neuroscience and the Free Energy Principle",2020-05-28
98,"Kate Darling: Social Robotics",2020-05-23
97,"Sertac Karaman: Robots That Fly and Robots That Drive",2020-05-19
96,"Stephen Schwarzman: Going Big in Business, Investing, and AI",2020-05-15
95,"Dawn Song: Adversarial Machine Learning and Computer Security",2020-05-12
94,"Ilya Sutskever: Deep Learning",2020-05-08
93,"Daphne Koller: Biomedicine and Machine Learning",2020-05-05
92,"Harry Cliff: Particle Physics and the Large Hadron Collider",2020-04-29
91,"Jack Dorsey: Square, Cryptocurrency, and Artificial Intelligence",2020-04-24
90,"Dmitry Korkin: Computational Biology of Coronavirus",2020-04-22
89,"Stephen Wolfram: Cellular Automata, Computation, and Physics",2020-04-18
88,"Eric Weinstein: Geometric Unity and the Call for New Ideas, Leaders & Institutions",2020-04-13
87,"Richard Dawkins: Evolution, Intelligence, Simulation, and Memes",2020-04-09
86,"David Silver: AlphaGo, AlphaZero, and Deep Reinforcement Learning",2020-04-03
85,"Roger Penrose: Physics of Consciousness and the Infinite Universe",2020-03-31
84,"William MacAskill: Effective Altruism",2020-03-29
83,"Nick Bostrom: Simulation and Superintelligence",2020-03-25
82,"Simon Sinek: Leadership, Hard Work, Optimism and the Infinite Game",2020-03-21
81,"Anca Dragan: Human-Robot Interaction and Reward Engineering",2020-03-19
80,"Vitalik Buterin: Ethereum, Cryptocurrency, and the Future of Money",2020-03-16
79,"Lee Smolin: Quantum Gravity and Einstein’s Unfinished Revolution",2020-03-07
78,"Ann Druyan: Cosmos, Carl Sagan, Voyager, and the Beauty of Science",2020-03-05
77,"Alex Garland: Ex Machina, Devs, Annihilation, and the Poetry of Science",2020-03-03
76,"John Hopfield: Physics View of the Mind and Neurobiology",2020-02-29
75,"Marcus Hutter: Universal Artificial Intelligence, AIXI, and AGI",2020-02-26
74,"Michael I. Jordan: Machine Learning, Recommender Systems, and the Future of AI",2020-02-24
73,"Andrew Ng: Deep Learning, Education, and Real-World AI",2020-02-20
72,"Scott Aaronson: Quantum Computing",2020-02-17
71,"Vladimir Vapnik: Predicates, Invariants, and the Essence of Intelligence",2020-02-14
70,"Jim Keller: Moore’s Law, Microprocessors, and First Principles",2020-02-05
69,"David Chalmers: The Hard Problem of Consciousness",2020-01-29
68,"Cristos Goodrow: YouTube Algorithm",2020-01-25
67,"Paul Krugman: Economics of Innovation, Automation, Safety Nets & Universal Basic Income",2020-01-21
66,"Ayanna Howard: Human-Robot Interaction and Ethics of Safety-Critical Systems",2020-01-17
