"episode_number","title","date"
299,"E301 Why Bitcoin Will Die (w/ Peter Schiff)",2021-11-16
298,"E300 Our 300th And Worst Episode Ever",2021-11-09
297,"E299 Theo Von Hooked Up With Our Fan",2021-11-02
296,"E298 One Of Us Is Raising Our Ex’s Baby",2021-10-26
295,"E297 Howie Mandel Has Lost His Mind",2021-10-19
294,"E296 Dan Bilzerian’s Famous Celebrity Hookup",2021-10-12
293,"E295 Adam Ray Roasts Logan Paul’s Love Life",2021-10-07
292,"E294 My Friends Confront My Addiction",2021-10-01
291,"E293 Game Of Thrones Biggest Star: Thor ’The Mountain’ Bjornsson",2021-09-23
290,"E292 TommyInnit Explains Minecraft To Logan Paul",2021-09-14
289,"E291 The Time Mr. Beast Almost Died",2021-09-07
288,"E290 Sean O’Malley Is The Future Of The UFC",2021-08-31
287,"E289 The Jake Paul Interview: Knocking Out Tyron Woodley",2021-08-26
286,"E288 The WWE Interview: Nikki Bella, Bobby Lashley & Riddle",2021-08-24
285,"E287 Our First Episode In Puerto Rico",2021-08-17
284,"E286 Trippie Redd Smokes Us Out",2021-08-10
283,"E285 DJ Scheme Shares Final Moments With Juice WRLD & XXXTENTACION",2021-08-03
282,"E284 Our Last Episode In LA...",2021-07-27
281,"E283 The KSI Interview",2021-07-20
280,"E282 Adin Ross Is Dating His Sister",2021-07-15
279,"E281 The End Of Conor McGregor & Addison Rae’s Career",2021-07-13
278,"E280 Corinna Kopf Hooked Up With Your Favorite Influencer",2021-07-06
277,"E279 Logan Paul’s Final Goodbye To Mike & George",2021-06-29
276,"E278 What Was It Like Fighting Floyd Mayweather?",2021-06-10
275,"E277 Logan Paul’s Final Message To Floyd Mayweather",2021-06-03
274,"E276 Logan Paul Confirms Floyd Mayweather Fight & Move To Puerto Rico",2021-04-29
273,"E275 Jake Paul Speaks on Ben Askren KO, Calls Out Next Opponent *Exclusive*",2021-04-20
272,"E274 The Jake Paul Interview: Knocking Out Ben Askren",2021-04-15
271,"E273 Jeff Wittek Comes Clean",2021-04-13
270,"E272 The Ben Askren Interview: Knocking Out Jake Paul",2021-04-08
269,"E271 Olivia O’Brien Hates Us, But Loves You",2021-04-06
268,"E270 Logan Paul Speaks On David Dobrik, Masked Singer Reveal & Jake Paul VS. Ben Askren",2021-04-01
267,"E269 Chase Hero: From Broke To Millionaire In 14 Days",2021-03-30
266,"E268 24kGoldn’s #1 Hit Is A Mood",2021-03-25
265,"E267 We Want Sommer Ray On OnlyFans",2021-03-23
264,"E266 Jason Ellis *Viewer Discretion Advised*",2021-03-18
263,"E265 Too Hungover To Podcast",2021-03-16
262,"E264 Chris Distefano: Try Not To Laugh",2021-03-11
261,"E263 Exposing The Richest YouTubers",2021-03-09
260,"E262 James Fox Reveals Most Compelling Alien Evidence Ever",2021-03-04
259,"E261 Logan Paul Spent $170,000 On An NFT",2021-03-02
258,"E260 Chet Hanks Blasts Tom Hanks Conspiracy Rumors",2021-02-25
257,"E259 Mike & Lana Broke Up (Officially)",2021-02-23
256,"E258 Chantel Jeffries Lost Logan Paul $2,500,000",2021-02-18
255,"E257 Logan Paul Is Leaving California...",2021-02-16
254,"E256 OnlyFans Millionaire & Prank God: Jackson O’Doherty",2021-02-11
253,"E255 Tim Dillon Roasts Joe Rogan, Dr. Fauci & Dixie D’Amelio",2021-02-09
252,"E254 Rob Gronkowski Exposes Tom Brady",2021-02-04
251,"E253 Why Floyd Mayweather VS. Logan Paul Was Postponed...",2021-02-02
250,"E252 WallStreetBets Founder Exposes Robinhood Corruption & GameStop Boom",2021-01-28
249,"E251 Logan Paul Loses His Phone Sex Virginity",2021-01-26
248,"E250 What Is Bitcoin & How Does It Work? (w/ Andrei Jikh)",2021-01-07
247,"E249 Logan Paul Responds to Jake Paul: ’My Brother Is A Fake Fighter’",2021-01-05
246,"E248 IMPAULSIVE’S TOP 20 MOMENTS OF 2020",2021-01-01
245,"E247 The Mike Tyson Interview",2020-12-29
244,"E246 Andrew Schulz Is Uncancellable",2020-12-24
243,"E245 Teague Egan Is The Next Elon Musk",2020-12-22
242,"E244 Sam Dameshek: Hollywood’s Celebrity Photographer",2020-12-17
241,"E243 Jake Paul Slams Conor McGregor, His Wife & Dana White",2020-12-15
240,"E242 Belle Delphine Stars In Her First Adult Film",2020-12-10
239,"E241 Logan Paul’s Strategy To Beat Floyd Mayweather",2020-12-08
238,"E240 Nick Kroll: The Voice Behind Hollywood’s Hormones",2020-12-03
237,"E239 Logan Paul Criticizes Jake Paul’s Vicious Nate Robinson KO",2020-12-01
236,"E238 Jake Paul Vs. The World",2020-11-26
235,"E237 Your Direct Messages Are Embarrassing",2020-11-24
234,"E236 Iann Dior",2020-11-19
233,"E235 I Got Invited To A Hollywood Sex Party",2020-11-17
232,"E234 John Shahidi: Social Media Mastermind",2020-11-12
231,"E233 One Year Since Losing To KSI",2020-11-10
230,"E232 Julia Rose Uncensored",2020-11-05
229,"E231 Dear Mr. President",2020-11-03
228,"E230 Logan Paul’s Assistant: ’I’m Not Your Friend’",2020-10-29
227,"E229 David Dobrik’s Perfume Makes No Scents",2020-10-27
226,"E228 We Got Roasted By Jo Koy",2020-10-22
